Label,Count
Alisterus scapularis_Australian King-Parrot,208
Aleeta curvicosta_Floury Baker,232
Ailuroedus crassirostris_Green Catbird,232
Aidemosyne modesta_Plum-headed Finch,210
Aegotheles cristatus_Australian Owlet Nightjar,233
Adelotus brevis_Tusked Frog,111
Acrocephalus australis_Australian Reed Warbler,254
Acridotheres tristis_Common Myna,156
Acanthorhynchus tenuirostris_Eastern Spinebill,173
Acanthiza uropygialis_Chestnut-rumped Thornbill,120
Acanthiza reguloides_Buff-rumped Thornbill,262
Acanthiza pusilla_Brown Thornbill,202
Acanthiza nana_Yellow Thornbill,202
Acanthiza lineata_Striated Thornbill,235
Acanthiza chrysorrhoa_Yellow-rumped_Thornbill,255
Acanthiza apicalis_Inland Thornbill,137
Acanthagenys rufogularis_Spiny-cheeked Honeyeater,188
